id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,sqft_living15,sqft_lot15,price
0.724251576,0.375,0.166666667,0.104849279,0.003029605,0,0,0,0.5,0.444444444,0.126182965,0,0.47826087,0.893939394,0.556073988,0.118811881,0.011743359,0.027848341
0.651478389,0.375,0.375,0.287024902,0.003994039,0.4,0,0,0.5,0.444444444,0.282334385,0.167364017,0.443478261,0.626262626,0.905682386,0.188118812,0.016424229,0.087772512
0.57184716,0.25,0.166666667,0.051114024,0.005664835,0,0,0,0.5,0.333333333,0.061514196,0,0.286956522,0.136363636,0.933844359,0.392079208,0.017419709,0.019905213
0.251907852,0.5,0.5,0.207077326,0.002635835,0,0,0,1,0.444444444,0.105678233,0.380753138,0.565217391,0.681818182,0.572071321,0.122772277,0.010213663,0.10028436
0.197694257,0.375,0.333333333,0.170380079,0.004501699,0,0,0,0.5,0.555555556,0.205047319,0,0.756521739,0.368686869,0.732044659,0.20990099,0.01610417,0.082464455
0.735266228,0.5,0.75,0.660550459,0.061356023,0,0,0,0.5,0.888888889,0.55362776,0.640167364,0.87826087,0.262626263,0.797533744,0.796039604,0.238326654,0.218957346
0.133285086,0.375,0.375,0.174967235,0.003737786,0.4,0,0,0.5,0.444444444,0.210567823,0,0.826086957,0.01010101,0.220296617,0.296633663,0.014494459,0.034597156
0.203148149,0.375,0.25,0.089121887,0.005489759,0,0,0,0.5,0.444444444,0.107255521,0,0.547826087,0.994949495,0.386602233,0.18019802,0.02130043,0.041109005
0.244520568,0.375,0.166666667,0.183486239,0.004132161,0,0,0,0.5,0.444444444,0.105678233,0.305439331,0.52173913,0.732323232,0.557907015,0.205940594,0.017539731,0.0292891
0.384826642,0.375,0.416666667,0.197903014,0.003580883,0.4,0,0,0.5,0.444444444,0.238170347,0,0.895652174,0.186868687,0.318113648,0.326732673,0.016261846,0.047014218
0.175552986,0.375,0.416666667,0.416775885,0.005541252,0,0,0,0.5,0.555555556,0.233438486,0.711297071,0.565217391,0.03030303,0.705215797,0.291089109,0.019450674,0.111374408
0.936262377,0.25,0.166666667,0.102228047,0.003241635,0,0,0,0.75,0.444444444,0.075709779,0.125523013,0.365217391,0.575757576,0.854024329,0.116831683,0.012567042,0.07450237
0.010439837,0.375,0.166666667,0.137614679,0.01166286,0.2,0,0,0.75,0.444444444,0.165615142,0,0.234782609,0.136363636,0.963672721,0.205940594,0.028327619,0.044549763
0.614903558,0.375,0.291666667,0.129750983,0.005470979,0,0,0,0.75,0.444444444,0.15615142,0,0.669565217,0.368686869,0.725212465,0.124752475,0.022470059,0.061611374
0.11838862,0.625,0.333333333,0.187418087,0.002544965,0.2,0,0,0.5,0.444444444,0.22555205,0,0,0.535353535,0.820696551,0.122772277,0.009860656,0.086255924
0.944850239,0.5,0.5,0.336828309,0.002635835,0.4,0,0.75,0.5,0.666666667,0.252365931,0.405857741,0.686956522,0.631313131,0.656390602,0.277227723,0.007860285,0.109004739
0.189665965,0.375,0.333333333,0.197903014,0.008112267,0.4,0,0,0.5,0.444444444,0.238170347,0,0.817391304,0.090909091,0.916847192,0.227722772,0.031436432,0.060663507
0.697378789,0.5,0.166666667,0.159895151,0.002211776,0.2,0,0,0.75,0.444444444,0.192429022,0,0.139130435,0.515151515,0.812031328,0.172277228,0.008566298,0.077725118
0.000457835,0.25,0.166666667,0.107470511,0.005573965,0,0,0,0.75,0.444444444,0.129337539,0,0.182608696,0.005050505,0.218963506,0.063366337,0.010437234,0.021611374
0.81113771,0.375,0.166666667,0.114023591,0.005527924,0,0,0,0.75,0.444444444,0.137223975,0,0.6,0.01010101,0.261289785,0.106930693,0.019274171,0.029383886
0.639919412,0.5,0.291666667,0.162516383,0.002623719,0,0,0,0.75,0.444444444,0.075709779,0.317991632,0.408695652,0.666666667,0.874854191,0.130693069,0.010166596,0.058767773
0.255657247,0.375,0.458333333,0.349934469,0.026787261,0,0,1,0.5,0.666666667,0.307570978,0.30125523,0.591304348,0.196969697,0.590068322,0.667326733,0.046305078,0.36492891
0.725133749,0.625,0.416666667,0.247706422,0.003423375,0.4,0,0,0.5,0.555555556,0.298107256,0,0.826086957,0.45959596,0.24845859,0.297029703,0.014932187,0.039810427
0.822147309,0.25,0.25,0.090432503,0.005448565,0,0,0,0.5,0.444444444,0.108832808,0,0.739130435,0.146464646,0.292951175,0.095049505,0.018182203,0.033687204
0.386983792,0.375,0.375,0.27129751,0.003544535,0.4,0,0,0.75,0.555555556,0.326498423,0,0.739130435,0.146464646,0.327278787,0.289108911,0.014602714,0.048151659
0.121135891,0.375,0.333333333,0.174311927,0.002452278,0.2,0,0,1,0.333333333,0.20977918,0,0.356521739,0.005050505,0.212131311,0.057425743,0.009519417,0.029952607
0.181424072,0.375,0.291666667,0.27129751,0.001237043,0.4,0,0,0.5,0.555555556,0.216088328,0.292887029,0.130434783,0.595959596,0.768371938,0.201980198,0.006855392,0.163412322
0.33498845,0.375,0.166666667,0.133682831,0.000564606,0.2,0,0,1,0.555555556,0.160883281,0,0.07826087,0.560606061,0.740876521,0.221782178,0.007533165,0.112227488
0.517908546,0.375,0.291666667,0.149410223,0.003471839,0,0,0,0.5,0.444444444,0.06466877,0.305439331,0.417391304,0.575757576,0.862356274,0.154455446,0.013120086,0.068815166
0.189421794,0.5,0.416666667,0.287024902,0.003952239,0.4,0,0,0.5,0.555555556,0.345425868,0,0.913043478,0.257575758,0.882852858,0.374257426,0.01262823,0.122085308
0.870108208,0.375,0.416666667,0.254259502,0.00201792,0.4,0,0,0.5,0.555555556,0.305993691,0,0.895652174,0.131313131,0.602566239,0.364356436,0.007813217,0.095829384
0.24568453,0.25,0.25,0.106159895,0.000373173,0.8,0,0,0.5,0.444444444,0.127760252,0,0.913043478,0.666666667,0.916347275,0.128712871,0.002579303,0.038862559
0.045737551,0.5,0.291666667,0.255570118,0.002635835,0.2,0,0,0.75,0.444444444,0.178233438,0.343096234,0.252173913,0.585858586,0.841193134,0.142574257,0.010213663,0.116113744
0.771047367,0.375,0.166666667,0.093053735,0.001424236,0.2,0,0,0.75,0.555555556,0.111987382,0,0.252173913,0.585858586,0.852191301,0.164356436,0.010401934,0.087203791
0.80827646,0.5,0.458333333,0.220183486,0.003640858,0,0,0,0.5,0.444444444,0.141955836,0.326359833,0.704347826,0.287878788,0.416763873,0.253465347,0.018968232,0.046919431
0.970278628,0.375,0.416666667,0.25163827,0.001460584,0.2,0,0,0.5,0.555555556,0.178233438,0.330543933,0.260869565,0.575757576,0.84185969,0.168316832,0.006128198,0.117725118
0.958892036,0.5,0.166666667,0.167758847,0.020717752,0,0,0,0,0.222222222,0.086750789,0.305439331,0.286956522,0.257575758,0.807532078,0.281188119,0.025432963,0.090047393
0.280479814,0.5,0.333333333,0.259501966,0.003241635,0.4,0,0,0.75,0.555555556,0.312302839,0,0.034782609,0.535353535,0.821029828,0.196039604,0.00950765,0.107109005
0.802214045,0.5,0.166666667,0.110091743,0.00449867,0,0,0,0.25,0.444444444,0.08044164,0.138075314,0.6,0,0.260956507,0.108910891,0.016803123,0.031279621
0.210321683,0.5,0.416666667,0.293577982,0.004182443,0.4,0,0,0.5,0.555555556,0.353312303,0,0.834782609,0.277777778,0.587568739,0.372277228,0.026414322,0.100473934
0.563320315,0.5,0.416666667,0.287024902,0.002950851,0.4,0,0,0.5,0.666666667,0.345425868,0,0.869565217,0.368686869,0.728211965,0.342574257,0.011788074,0.104265403
0.789057483,0.5,0.375,0.50327654,0.014258713,0,0,0,0.5,0.555555556,0.350157729,0.677824268,0.730434783,0.833333333,0.44575904,0.330693069,0.070500164,0.132701422
0.731773085,0.625,0.458333333,0.421363041,0.003022942,0.4,0,0,0.5,0.666666667,0.507097792,0,0.991304348,0.262626263,0.845359107,0.571287129,0.011717472,0.149192417
0.942092766,0.375,0.166666667,0.155963303,0.00098806,0.4,0,0,0.5,0.444444444,0.187697161,0,0.191304348,0.595959596,0.772871188,0.166336634,0.00465969,0.11563981
0.144610222,0.375,0.166666667,0.117955439,0.00545644,0,0,0,0.75,0.333333333,0.085173502,0.150627615,0.513043478,0.287878788,0.451591401,0.118811881,0.019175329,0.04436019
0.816444112,0.375,0.416666667,0.364351245,0.007847532,0.4,0,0,0.5,0.555555556,0.438485804,0,0.895652174,0.090909091,0.944509248,0.457425743,0.020173162,0.078293839
0.909023378,0.375,0.166666667,0.079947575,0.004773098,0,0,0,0.5,0.333333333,0.096214511,0,0.573913043,0.111111111,0.215130812,0.096633663,0.019250637,0.025685308
0.423980894,0.5,0.416666667,0.250327654,0.007734248,0.4,0,0,0.75,0.666666667,0.30126183,0,0.704347826,0.03030303,0.73637727,0.384158416,0.030652757,0.134597156
0.936516741,0.375,0.291666667,0.114023591,0.003219221,0,0,0,0.75,0.444444444,0.137223975,0,0.460869565,0.575757576,0.836693884,0.045544554,0.010449001,0.071090047
0.082474022,0.375,0.416666667,0.311009174,0.03898686,0,1,0.5,1,0.666666667,0.281545741,0.246025105,0.460869565,0.348484848,0.377603733,0.384158416,0.169097315,0.241706161
0.532580967,0.375,0.166666667,0.106159895,0.005179589,0,0,0,0.5,0.444444444,0.127760252,0,0.47826087,0.742424242,0.413764373,0.089108911,0.020483808,0.029004739
0.734630258,0.625,0.416666667,0.363040629,0.005140212,0,0,0,0.75,0.555555556,0.19873817,0.631799163,0.573913043,0.277777778,0.526412265,0.247524752,0.019940177,0.051184834
0.763854078,0.375,0.291666667,0.134993447,0.0020785,0,0,0,0.75,0.444444444,0.097791798,0.171548117,0.434782609,0.585858586,0.838693551,0.132673267,0.008048555,0.099526066
0.367787133,0.25,0.291666667,0.209698558,0.004786425,0,0,0,0.5,0.444444444,0.096214511,0.414225941,0.704347826,0.585858586,0.868855191,0.146534653,0.014303835,0.096682464
0.427959494,0.625,0.375,0.307994758,0.003241635,0.2,0,0,0.5,0.555555556,0.276025237,0.251046025,0.234782609,0.525252525,0.799200133,0.394059406,0.012567042,0.160189573
0.998310855,0.5,0.416666667,0.321100917,0.002635835,0.4,0,0,0.5,0.666666667,0.386435331,0,0.826086957,0.525252525,0.803532745,0.23960396,0.010213663,0.153554502
0.963287792,0.5,0.416666667,0.24508519,0.002329907,0.4,0,0,0.5,0.444444444,0.294952681,0,0.939130435,0.207070707,0.314614231,0.299009901,0.009036974,0.041232227
